LenderYield,ProsperScore,BorrowerState,Occupation,OriginationYear,CreditScoreRangeLower
0.2219,4.0,DE,Other,2013,640.0
0.13,8.0,MA,Professional,2010,760.0
0.2582,5.0,TX,Other,2010,640.0
0.1805,7.0,IL,Administrative Assistant,2014,640.0
0.1599,7.0,MO,Sales - Commission,2013,740.0
0.2079,3.0,WI,Fireman,2013,740.0
0.3077,3.0,OH,Police Officer/Correction Officer,2012,740.0
0.1359,6.0,NY,Analyst,2013,740.0
0.2399,6.0,TX,Other,2012,680.0
0.1719,4.0,OR,Professional,2013,740.0
0.0616,8.0,FL,Food Service Management,2014,780.0
0.0465,10.0,NY,Military Officer,2012,800.0
0.2612,2.0,CA,Civil Service,2013,660.0
0.2499,6.0,PA,Computer Programmer,2011,740.0
0.2958,5.0,IL,Bus Driver,2011,680.0
0.1599,7.0,CA,Other,2013,740.0
0.0769,10.0,GA,Computer Programmer,2013,800.0
0.1299,8.0,NY,Tradesman - Plumber,2011,760.0
0.177,6.0,ID,Sales - Retail,2013,660.0
0.0599,10.0,DE,Military Enlisted,2013,800.0
0.3077,3.0,FL,Other,2012,720.0
0.2594,3.0,IN,Other,2013,660.0
0.1299,7.0,GA,Retail Management,2013,720.0
0.152,6.0,TN,Other,2014,720.0
0.1073,9.0,WA,Retail Management,2012,780.0
0.0935,8.0,TN,Engineer - Mechanical,2009,780.0
0.221,4.0,NJ,Nurse (RN),2013,660.0
0.117,9.0,NY,Other,2012,720.0
0.1668,8.0,OK,Professional,2012,660.0
0.2799,6.0,NJ,Other,2011,680.0
0.1865,7.0,NY,Professional,2010,800.0
0.0999,9.0,IN,Other,2013,780.0
0.13,11.0,MD,Analyst,2014,660.0
0.1745,8.0,CA,Police Officer/Correction Officer,2012,680.0
0.1149,10.0,FL,Professional,2013,700.0
0.205,8.0,FL,Other,2014,660.0
0.2048,7.0,MN,Realtor,2012,740.0
0.1985,4.0,TX,Other,2013,680.0
0.1349,8.0,NC,Engineer - Electrical,2012,660.0
0.2999,3.0,CT,Professional,2011,660.0
0.2048,6.0,NC,Skilled Labor,2012,720.0
0.099,9.0,CO,Other,2009,880.0
0.2858,6.0,DC,Professional,2012,640.0
0.1235,8.0,TN,Nurse (LPN),2010,760.0
0.1879,3.0,TN,Construction,2013,740.0
0.2246,6.0,OR,Other,2012,680.0
0.1385,8.0,AZ,Food Service Management,2010,720.0
0.1985,6.0,MO,Other,2013,680.0
0.1924,6.0,LA,Food Service Management,2013,700.0
0.1815,6.0,VA,Attorney,2010,700.0
0.2399,7.0,NV,Computer Programmer,2011,680.0
0.2406,8.0,GA,Professional,2013,640.0
0.0499,10.0,CA,Other,2011,760.0
0.134,7.0,MN,Teacher,2013,700.0
0.1544,9.0,FL,Other,2011,780.0
0.3077,2.0,TX,Clerical,2012,620.0
0.101,9.0,IL,Clerical,2011,760.0
0.139,9.0,CO,Professional,2010,700.0
0.1089,11.0,UT,Other,2014,740.0
0.2099,3.0,TX,Other,2013,700.0
0.1463,6.0,CO,Medical Technician,2012,780.0
0.1521,8.0,WI,Clerical,2012,740.0
0.0779,8.0,GA,Analyst,2014,700.0
0.3099,3.0,CA,Teacher,2011,740.0
0.2055,1.0,NE,Other,2013,700.0
0.1805,3.0,CA,Other,2014,700.0
0.1695,7.0,NV,Administrative Assistant,2014,660.0
0.0685,10.0,CA,Professional,2010,760.0
0.2858,6.0,AL,Other,2012,660.0
0.1549,7.0,GA,Professional,2013,760.0
0.2118,8.0,AZ,Accountant/CPA,2012,700.0
0.1385,10.0,IL,Professional,2013,740.0
0.34,5.0,MN,Skilled Labor,2010,680.0
0.0599,7.0,KS,Other,2013,760.0
0.1199,9.0,MD,Professional,2013,680.0
0.2739,8.0,MD,Administrative Assistant,2012,640.0
0.2204,4.0,MI,Construction,2014,660.0
0.1949,6.0,CA,Attorney,2012,740.0
0.2159,4.0,NY,Other,2013,660.0
0.2611,9.0,NC,Analyst,2009,640.0
0.2825,2.0,NJ,Professional,2013,640.0
0.2532,2.0,MI,Other,2012,680.0
0.191,2.0,WV,Construction,2014,700.0
0.3077,3.0,WI,Laborer,2012,720.0
0.1335,4.0,MI,Professional,2014,680.0
0.089,5.0,KY,Professional,2013,780.0
0.152,6.0,WA,Analyst,2013,680.0
0.3077,3.0,TX,Other,2012,720.0
0.2899,1.0,CA,Other,2012,720.0
0.2294,3.0,NY,Other,2013,660.0
0.1229,8.0,IL,Professional,2011,800.0
0.1599,5.0,OK,Administrative Assistant,2013,760.0
0.0695,10.0,IN,Skilled Labor,2009,740.0
0.1123,8.0,TN,Executive,2012,740.0
0.3077,3.0,FL,Clerical,2012,680.0
0.3077,4.0,GA,Other,2012,720.0
0.1985,3.0,VA,Other,2013,680.0
0.1695,6.0,RI,Professional,2014,640.0
0.3099,5.0,TX,Sales - Retail,2011,680.0
0.1296,9.0,VA,Analyst,2012,780.0
0.094,9.0,CA,Professional,2011,720.0
0.2499,5.0,CA,Student - College Junior,2011,720.0
0.2545,7.0,CA,Engineer - Electrical,2009,740.0
0.083,8.0,CT,Computer Programmer,2010,800.0
0.1799,4.0,NY,Other,2013,680.0
0.1564,10.0,NC,Other,2009,680.0
0.285,7.0,IN,Executive,2010,660.0
0.3099,4.0,OR,Administrative Assistant,2011,640.0
0.0735,9.0,FL,Engineer - Electrical,2010,720.0
0.0874,10.0,NY,Computer Programmer,2013,700.0
0.104,9.0,TX,Other,2011,760.0
0.3134,7.0,GA,Other,2010,740.0
0.1556,6.0,IL,Professional,2011,800.0
0.1349,8.0,VA,Religious,2012,760.0
0.3099,5.0,NV,Other,2011,700.0
0.2055,2.0,CA,Other,2013,700.0
0.1585,3.0,LA,Other,2014,680.0
0.2832,4.0,NY,Other,2013,760.0
0.2899,2.0,PA,Construction,2013,680.0
0.2389,7.0,MI,Other,2012,720.0
0.204,7.0,NH,Engineer - Electrical,2011,780.0
0.1752,7.0,TX,Engineer - Mechanical,2012,680.0
0.1214,10.0,VA,Construction,2013,760.0
0.14,7.0,VA,Civil Service,2013,680.0
0.1054,10.0,MT,Other,2011,740.0
0.2612,2.0,TX,Professional,2013,660.0
0.1628,7.0,TX,Other,2012,680.0
0.1949,3.0,TX,Other,2013,660.0
0.1499,6.0,IL,Other,2013,700.0
0.2858,6.0,NJ,Other,2012,660.0
0.2048,7.0,LA,Nurse (RN),2012,720.0
0.089,8.0,VA,Civil Service,2013,700.0
0.141,8.0,PA,Food Service Management,2011,840.0
0.2109,3.0,MA,Other,2013,740.0
0.145,6.0,OH,Professional,2013,680.0
0.2392,3.0,CT,Other,2013,660.0
0.2369,4.0,NJ,Nurse (LPN),2013,660.0
0.1555,4.0,GA,Sales - Commission,2014,680.0
0.1752,6.0,CT,Other,2012,720.0
0.2135,6.0,NC,Clerical,2014,680.0
0.1949,7.0,LA,Construction,2012,680.0
0.1139,5.0,NC,Other,2014,760.0
0.2399,6.0,CA,Retail Management,2012,700.0
0.17,9.0,CA,Other,2009,680.0
0.1999,5.0,GA,Engineer - Mechanical,2013,700.0
0.1839,9.0,MI,Other,2012,640.0
0.1174,6.0,RI,Sales - Commission,2013,700.0
0.0989,9.0,FL,Sales - Retail,2013,700.0
0.1365,5.0,GA,Other,2014,660.0
0.1664,8.0,TN,Other,2011,660.0
0.1695,5.0,CA,Professional,2013,660.0
0.189,9.0,AZ,Engineer - Chemical,2010,680.0
0.2154,3.0,FL,Nurse (RN),2014,680.0
0.2024,4.0,NV,Clerical,2013,680.0
0.156,4.0,CA,Other,2013,700.0
0.189,9.0,NV,Clerical,2010,640.0
0.1349,8.0,CA,Retail Management,2012,700.0
0.1053,7.0,GA,Other,2013,720.0
0.1555,6.0,IL,Medical Technician,2014,680.0
0.0769,11.0,GA,Executive,2013,700.0
0.3027,4.0,NY,Other,2012,660.0
0.1985,8.0,OH,Laborer,2012,720.0
0.1915,4.0,KY,Food Service Management,2013,680.0
0.1476,7.0,IL,Other,2012,680.0
0.1199,8.0,MD,Engineer - Electrical,2013,660.0
0.2374,6.0,FL,Other,2014,680.0
0.2399,5.0,WI,Laborer,2012,800.0
0.2686,3.0,LA,Retail Management,2013,620.0
0.184,4.0,CA,Sales - Commission,2014,680.0
0.1799,3.0,CA,Other,2013,780.0
0.2799,1.0,MD,Civil Service,2011,620.0
0.1799,3.0,IN,Other,2013,760.0
0.089,6.0,TX,Postal Service,2013,680.0
0.11,9.0,CA,Professional,2010,660.0
0.191,3.0,NC,Laborer,2013,680.0
0.1365,9.0,NJ,Computer Programmer,2013,700.0
0.1299,8.0,TN,Sales - Retail,2013,700.0
0.2018,3.0,MI,Professional,2013,700.0
0.2479,3.0,MS,Engineer - Mechanical,2013,700.0
0.1149,9.0,GA,Teacher,2013,700.0
0.2039,4.0,CA,Architect,2013,760.0
0.2,9.0,CO,Civil Service,2010,680.0
0.3099,5.0,NY,Food Service Management,2011,640.0
0.2599,3.0,NY,Other,2013,660.0
0.2187,5.0,CA,Professional,2012,640.0
0.177,5.0,GA,Truck Driver,2013,700.0
0.2612,5.0,VA,Sales - Retail,2013,620.0
0.2572,4.0,NY,Accountant/CPA,2013,660.0
0.1572,2.0,CA,Skilled Labor,2012,680.0
0.0929,9.0,PA,Student - College Graduate Student,2011,720.0
0.145,8.0,DE,Other,2013,740.0
0.2187,4.0,HI,Military Enlisted,2012,620.0
0.1174,9.0,CA,Clerical,2014,680.0
0.173,7.0,VA,Analyst,2012,700.0
0.3077,3.0,PA,Other,2012,680.0
0.2686,5.0,OK,Civil Service,2013,700.0
0.1174,7.0,NJ,Scientist,2014,700.0
0.2342,7.0,AZ,Other,2010,600.0
0.2048,6.0,CA,Professional,2012,760.0
0.098,9.0,MA,Doctor,2010,720.0
0.2059,4.0,TX,Construction,2013,660.0
0.212,5.0,PA,Teacher,2012,700.0
0.3025,1.0,AZ,Professional,2011,600.0
0.1774,5.0,AL,Other,2013,720.0
0.1579,8.0,VA,Other,2012,680.0
0.187,4.0,OH,Religious,2014,660.0
0.265,7.0,TX,Retail Management,2010,640.0
0.1485,9.0,SC,Professional,2013,680.0
0.1029,8.0,GA,Accountant/CPA,2011,760.0
0.3077,4.0,CA,Nurse's Aide,2012,660.0
0.174,6.0,GA,Computer Programmer,2013,700.0
0.1099,6.0,IN,Other,2013,700.0
0.3024,6.0,TX,Skilled Labor,2010,700.0
0.3077,3.0,FL,Nurse (RN),2012,700.0
0.1634,4.0,CA,Truck Driver,2013,780.0
0.2449,4.0,MO,Truck Driver,2013,640.0
0.1799,4.0,CA,Engineer - Electrical,2013,700.0
0.2099,6.0,MD,Military Officer,2012,760.0
0.1445,8.0,TN,Other,2009,760.0
0.2187,4.0,NV,Other,2012,600.0
0.1521,8.0,OK,Other,2012,720.0
0.1959,3.0,CA,Professional,2013,740.0
0.1315,6.0,NY,Professional,2014,680.0
0.3034,3.0,CA,Police Officer/Correction Officer,2013,660.0
0.1791,10.0,CO,Teacher,2010,680.0
0.2499,6.0,KY,Medical Technician,2011,700.0
0.1485,4.0,WA,Food Service,2014,680.0
0.3025,3.0,MT,Other,2011,620.0
0.1149,7.0,NY,Engineer - Electrical,2013,720.0
0.1699,8.0,MS,Nurse (RN),2011,740.0
0.2539,2.0,MA,Clerical,2013,720.0
0.3077,2.0,MO,Medical Technician,2012,620.0
0.2187,6.0,IL,Waiter/Waitress,2012,640.0
0.1349,8.0,TX,Administrative Assistant,2012,720.0
0.174,6.0,TX,Nurse (RN),2013,700.0
0.1089,7.0,WI,Computer Programmer,2014,680.0
0.275,2.0,NY,Civil Service,2014,640.0
0.2051,8.0,IN,Skilled Labor,2011,660.0
0.2374,3.0,MD,Administrative Assistant,2014,680.0
0.2411,6.0,CO,Professional,2011,680.0
0.1435,7.0,MI,Teacher,2014,700.0
0.3099,4.0,VT,Military Enlisted,2011,660.0
0.1665,8.0,CO,Computer Programmer,2013,660.0
0.13,10.0,WA,Analyst,2014,660.0
0.1419,5.0,LA,Retail Management,2013,700.0
0.129,8.0,OK,Analyst,2011,800.0
0.1249,7.0,KY,Professional,2013,680.0
0.13,5.0,CA,Other,2013,660.0
0.3077,3.0,NY,Other,2012,740.0
0.182,4.0,WI,Other,2014,660.0
0.2246,3.0,FL,Military Enlisted,2012,640.0
0.2154,3.0,FL,Professional,2014,700.0
0.2399,6.0,IL,Teacher,2012,700.0
0.2399,6.0,FL,Professional,2011,660.0
0.2368,7.0,NY,Clerical,2012,700.0
0.182,5.0,CO,Nurse (LPN),2014,640.0
0.1099,9.0,NC,Retail Management,2013,700.0
0.2466,4.0,CA,Construction,2013,680.0
0.14,4.0,AL,Landscaping,2013,680.0
0.1745,8.0,NJ,Food Service Management,2012,700.0
0.2636,8.0,MO,Retail Management,2013,620.0
0.3077,4.0,TN,Other,2012,680.0
0.1199,6.0,AR,Computer Programmer,2013,760.0
0.1668,8.0,CA,Other,2012,700.0
0.2473,8.0,TX,Executive,2010,660.0
0.2298,7.0,CA,Police Officer/Correction Officer,2012,740.0
0.1556,7.0,FL,Car Dealer,2011,700.0
0.0999,11.0,IL,Engineer - Mechanical,2013,680.0
0.142,8.0,MO,Other,2009,760.0
0.2709,3.0,WI,Other,2013,660.0
0.1945,2.0,MS,Other,2013,740.0
0.2838,6.0,CO,Computer Programmer,2010,740.0
0.0989,9.0,FL,Professional,2013,700.0
0.3023,1.0,WA,Sales - Retail,2011,620.0
0.092,9.0,IN,Computer Programmer,2010,760.0
0.1685,10.0,WA,Sales - Retail,2009,680.0
0.1246,8.0,UT,Civil Service,2012,700.0
0.1485,6.0,GA,Retail Management,2014,700.0
0.1199,5.0,FL,Professional,2013,740.0
0.0934,8.0,TN,Professional,2013,780.0
0.3077,4.0,KY,Other,2012,680.0
0.145,7.0,MN,Other,2013,720.0
0.152,7.0,FL,Professional,2013,640.0
0.1959,3.0,MN,Sales - Retail,2013,660.0
0.1815,8.0,KY,Professional,2013,700.0
0.2299,7.0,MI,Medical Technician,2011,620.0
0.1815,7.0,CA,Clerical,2013,640.0
0.1319,6.0,OH,Professional,2013,740.0
0.3077,4.0,MO,Professional,2012,680.0
0.2524,3.0,OH,Skilled Labor,2014,640.0
0.1451,9.0,IL,Laborer,2012,760.0
0.3099,4.0,NY,Skilled Labor,2011,680.0
0.169,3.0,WI,Other,2014,720.0
0.089,6.0,MA,Other,2013,760.0
0.1149,7.0,IL,Other,2013,700.0
0.2259,3.0,OK,Accountant/CPA,2013,660.0
0.14,8.0,IL,Investor,2009,740.0
0.2599,7.0,FL,Attorney,2011,680.0
0.2059,3.0,IL,Professional,2013,660.0
0.3099,5.0,NJ,Attorney,2011,700.0
0.166,4.0,IL,Other,2013,660.0
0.2224,5.0,WI,Laborer,2012,620.0
0.14,4.0,CA,Engineer - Electrical,2013,700.0
0.1719,7.0,TN,Principal,2013,760.0
0.1585,4.0,OH,Other,2013,660.0
0.2187,2.0,WA,Administrative Assistant,2012,700.0
0.2389,7.0,IN,Sales - Commission,2012,680.0
0.0824,7.0,NC,Other,2013,740.0
0.1985,8.0,TX,Retail Management,2012,680.0
0.1385,4.0,TX,Other,2013,680.0
0.1089,6.0,CA,Tradesman - Mechanic,2014,700.0
0.2099,7.0,GA,Other,2011,620.0
0.1999,7.0,GA,Retail Management,2012,720.0
0.0709,9.0,MD,Accountant/CPA,2014,700.0
0.1884,4.0,MI,Tradesman - Mechanic,2013,700.0
0.2999,1.0,CA,Sales - Retail,2011,620.0
0.174,3.0,VA,Other,2014,680.0
0.2048,6.0,IL,Other,2012,760.0
0.2524,3.0,NY,Police Officer/Correction Officer,2013,640.0
0.2529,3.0,KS,Accountant/CPA,2013,660.0
0.2352,6.0,AR,Other,2012,680.0
0.2475,8.0,CA,Accountant/CPA,2010,620.0
0.2499,6.0,WI,Laborer,2011,740.0
0.1815,4.0,IL,Truck Driver,2013,660.0
0.1255,6.0,GA,Car Dealer,2014,660.0
0.2279,6.0,NH,Fireman,2013,640.0
0.2669,3.0,OH,Executive,2013,660.0
0.152,6.0,GA,Construction,2013,720.0
0.0861,10.0,TX,Professional,2012,800.0
0.3335,5.0,OK,Other,2010,680.0
0.1634,2.0,PA,Professional,2013,720.0
0.221,4.0,NE,Scientist,2013,700.0
0.1149,7.0,MO,Tradesman - Plumber,2013,720.0
0.0616,7.0,MD,Executive,2014,780.0
0.2387,4.0,MN,Civil Service,2012,620.0
0.2495,5.0,WA,Professional,2009,680.0
0.3395,6.0,CA,Military Enlisted,2010,620.0
0.1296,9.0,TX,Professional,2012,780.0
0.0616,10.0,OH,Professional,2014,700.0
0.174,7.0,OH,Executive,2013,660.0
0.2294,4.0,NY,Sales - Commission,2014,720.0
0.152,5.0,GA,Teacher,2013,660.0
0.1699,8.0,NY,Executive,2011,640.0
0.094,9.0,CA,Nurse (RN),2009,760.0
0.1485,4.0,VA,Civil Service,2013,720.0
0.142,4.0,OH,Professional,2013,700.0
0.285,7.0,IL,Bus Driver,2011,720.0
0.2532,8.0,FL,Retail Management,2012,640.0
0.1199,8.0,AR,Skilled Labor,2012,780.0
0.2099,4.0,IL,Teacher's Aide,2013,700.0
0.1254,9.0,IL,Executive,2011,760.0
0.306,2.0,WV,Skilled Labor,2011,620.0
0.1799,6.0,MD,Civil Service,2011,660.0
0.1699,8.0,NJ,Attorney,2011,740.0
0.1564,8.0,OK,Other,2011,760.0
0.2411,6.0,TN,Other,2011,640.0
0.089,10.0,NJ,Other,2014,720.0
0.2389,7.0,NY,Other,2012,700.0
0.1199,7.0,GA,Other,2009,800.0
0.0934,8.0,IL,Professional,2013,740.0
0.277,5.0,OH,Other,2012,720.0
0.0465,10.0,MO,Engineer - Electrical,2012,760.0
0.3077,3.0,NC,Other,2012,700.0
0.3335,5.0,IL,Professor,2010,660.0
0.1099,6.0,FL,Tradesman - Electrician,2013,700.0
0.2024,4.0,GA,Teacher,2013,660.0
0.2594,3.0,WA,Food Service,2013,660.0
0.2048,6.0,WA,Skilled Labor,2012,720.0
0.1945,4.0,TN,Executive,2013,680.0
0.2832,5.0,CT,Professional,2012,600.0
0.1634,6.0,NY,Nurse (RN),2013,720.0
0.1945,4.0,AR,Professional,2013,660.0
0.1797,5.0,CA,Accountant/CPA,2012,820.0
0.3099,4.0,DE,Retail Management,2011,660.0
0.2319,4.0,MO,Skilled Labor,2013,640.0
0.1285,8.0,CA,Professional,2010,740.0
0.129,9.0,TX,Social Worker,2011,740.0
0.1721,10.0,SD,Clerical,2010,660.0
0.15,6.0,NY,Laborer,2009,860.0
0.1255,7.0,NC,Accountant/CPA,2014,720.0
0.0835,9.0,IL,Other,2010,780.0
0.2461,6.0,WI,Skilled Labor,2011,640.0
0.1556,6.0,AZ,Other,2011,640.0
0.2525,7.0,IN,Professional,2010,640.0
0.1249,10.0,IL,Skilled Labor,2013,680.0
0.1674,3.0,NY,Computer Programmer,2012,720.0
0.2392,2.0,IL,Other,2013,780.0
0.1924,3.0,CO,Other,2013,780.0
0.3099,4.0,PA,Sales - Retail,2011,720.0
0.306,2.0,IN,Professional,2011,600.0
0.0999,8.0,MA,Police Officer/Correction Officer,2013,720.0
0.1099,5.0,ID,Other,2013,720.0
0.1199,5.0,CA,Nurse (RN),2013,680.0
0.1499,9.0,PA,Executive,2012,720.0
0.3077,4.0,PA,Sales - Retail,2012,680.0
0.2246,2.0,CA,Other,2012,680.0
0.1435,5.0,VA,Police Officer/Correction Officer,2013,740.0
0.2499,7.0,CT,Administrative Assistant,2011,640.0
0.2148,7.0,GA,Professional,2010,780.0
0.2599,7.0,CA,Professional,2011,680.0
0.1415,8.0,OH,Administrative Assistant,2010,720.0
0.0624,10.0,CO,Engineer - Mechanical,2012,780.0
0.1665,5.0,WA,Other,2014,680.0
0.2572,4.0,AL,Teacher,2013,640.0
0.2612,2.0,TX,Military Enlisted,2013,700.0
0.34,4.0,MN,Professional,2010,720.0
0.1174,7.0,OR,Construction,2013,660.0
0.1139,7.0,NC,Engineer - Electrical,2014,700.0
0.3099,4.0,MD,Executive,2011,700.0
0.1564,8.0,OK,Clerical,2011,760.0
0.06,10.0,FL,Executive,2010,760.0
0.089,7.0,VA,Food Service,2013,740.0
0.3,9.0,VA,Professional,2009,620.0
0.2401,8.0,NC,Professional,2009,700.0
0.2858,8.0,CA,Other,2012,640.0
0.13,2.0,NJ,Other,2014,660.0
0.2572,5.0,NJ,Administrative Assistant,2013,660.0
0.0666,10.0,OK,Professor,2013,780.0
0.1015,9.0,WI,Skilled Labor,2010,780.0
0.2048,7.0,NJ,Construction,2012,660.0
0.221,3.0,CA,Retail Management,2013,660.0
0.173,5.0,VT,Engineer - Electrical,2012,740.0
0.3025,1.0,MN,Nurse (RN),2011,640.0
0.2411,6.0,MN,Other,2011,660.0
0.1199,5.0,CO,Skilled Labor,2012,780.0
0.2224,6.0,FL,Executive,2012,700.0
0.3025,1.0,WA,Military Enlisted,2011,620.0
0.1999,4.0,CA,Medical Technician,2013,680.0
0.1059,8.0,IL,Other,2013,660.0
0.2825,2.0,NY,Skilled Labor,2013,640.0
0.2599,7.0,GA,Computer Programmer,2011,660.0
0.2224,6.0,KS,Clerical,2012,680.0
0.2605,8.0,MO,Professional,2009,640.0
0.166,7.0,NJ,Administrative Assistant,2013,660.0
0.2374,4.0,PA,Nurse (RN),2013,680.0
0.0505,10.0,HI,Police Officer/Correction Officer,2014,820.0
0.135,4.0,TX,Teacher,2014,680.0
0.3034,3.0,GA,Retail Management,2013,640.0
0.1899,8.0,FL,Other,2011,680.0
0.1799,9.0,IL,Other,2011,640.0
0.1564,8.0,TX,Analyst,2011,660.0
0.1,10.0,AZ,Sales - Retail,2009,720.0
0.34,5.0,TX,Accountant/CPA,2010,680.0
0.1349,8.0,IL,Teacher,2012,760.0
0.1665,4.0,HI,Construction,2013,680.0
0.1199,10.0,NJ,Other,2013,720.0
0.2172,5.0,TX,Clerical,2013,680.0
0.2159,5.0,NV,Other,2013,720.0
0.2572,2.0,MD,Tradesman - Mechanic,2013,680.0
0.2099,6.0,CA,Other,2011,640.0
0.0976,9.0,AR,Truck Driver,2012,740.0
0.0874,9.0,IL,Administrative Assistant,2012,740.0
0.065,10.0,NJ,Other,2009,760.0
0.1419,7.0,CA,Sales - Commission,2013,680.0
0.2204,5.0,CA,Retail Management,2013,660.0
0.2474,4.0,OH,Engineer - Mechanical,2011,600.0
0.166,4.0,AR,Other,2013,680.0
0.1674,8.0,CA,Other,2012,660.0
0.185,4.0,VT,Attorney,2013,640.0
0.2155,8.0,IL,Professional,2010,700.0
0.3077,5.0,MD,Attorney,2012,680.0
0.3077,3.0,WI,Car Dealer,2012,740.0
0.2279,3.0,PA,Clerical,2013,700.0
0.166,3.0,IN,Sales - Retail,2013,740.0
0.1369,7.0,NY,Other,2012,700.0
0.17,4.0,PA,Other,2013,680.0
0.0999,8.0,NH,Principal,2013,800.0
0.221,4.0,GA,Other,2013,660.0
0.2539,5.0,AZ,Computer Programmer,2013,620.0
0.3099,5.0,MA,Other,2011,680.0
0.0939,11.0,CA,Police Officer/Correction Officer,2013,660.0
0.2599,2.0,MD,Computer Programmer,2013,680.0
0.1579,4.0,MA,Other,2013,720.0
0.1299,10.0,VA,Analyst,2013,700.0
0.1059,8.0,CT,Analyst,2014,680.0
0.1595,7.0,MD,Nurse (LPN),2013,660.0
0.2572,7.0,NY,Professional,2013,660.0
0.1246,8.0,MO,Other,2012,720.0
0.3077,6.0,TX,Other,2012,640.0
0.1119,7.0,FL,Other,2013,720.0
0.3204,6.0,NV,Sales - Retail,2012,660.0
0.1299,7.0,MI,Laborer,2013,660.0
0.1799,3.0,MD,Analyst,2012,700.0
0.2999,2.0,AL,Professional,2011,640.0
0.2279,4.0,MO,Other,2013,700.0
0.34,1.0,NY,Professional,2009,600.0
0.285,7.0,IL,Retail Management,2011,680.0
0.277,5.0,GA,Administrative Assistant,2012,780.0
0.2499,7.0,NC,Professional,2011,660.0
0.2204,4.0,MA,Laborer,2013,640.0
0.1999,6.0,VA,Professional,2012,720.0
0.1699,8.0,CA,Other,2011,640.0
0.2298,6.0,CA,Nurse's Aide,2012,780.0
0.2411,7.0,NY,Skilled Labor,2011,680.0
0.2048,6.0,NE,Teacher,2012,740.0
0.0934,6.0,TX,Accountant/CPA,2013,740.0
0.1855,9.0,NC,Computer Programmer,2010,680.0
0.1799,6.0,GA,Professional,2011,640.0
0.1169,5.0,LA,Administrative Assistant,2013,720.0
0.1499,6.0,NJ,Accountant/CPA,2013,760.0
0.135,9.0,GA,Administrative Assistant,2010,660.0
0.174,7.0,SC,Nurse (RN),2013,660.0
0.1196,8.0,NY,Other,2012,680.0
0.1675,9.0,MO,Other,2009,680.0
0.0555,10.0,MO,Computer Programmer,2011,820.0
0.2294,4.0,MN,Skilled Labor,2014,720.0
0.0899,9.0,CA,Other,2012,780.0
0.2294,4.0,GA,Nurse (RN),2014,640.0
0.1108,9.0,LA,Analyst,2012,800.0
0.0824,10.0,CA,Executive,2013,740.0
0.2389,6.0,NC,Other,2012,780.0
0.3099,4.0,WI,Attorney,2011,740.0
0.2411,6.0,GA,Military Enlisted,2011,660.0
0.0999,7.0,CA,Clerical,2013,760.0
0.1089,7.0,CA,Analyst,2014,720.0
0.3027,5.0,OH,Sales - Commission,2011,680.0
0.2187,6.0,NY,Other,2012,620.0
0.2825,3.0,NY,Other,2013,680.0
0.2048,7.0,CA,Accountant/CPA,2012,640.0
0.1499,4.0,CA,Nurse (RN),2013,740.0
0.2024,4.0,VA,Professional,2013,660.0
0.1699,8.0,OH,Nurse's Aide,2011,760.0
0.1775,8.0,NC,Tradesman - Mechanic,2010,640.0
0.2599,6.0,MN,Other,2011,740.0
0.2298,7.0,MI,Sales - Retail,2012,700.0
0.0899,9.0,CA,Computer Programmer,2012,720.0
0.1199,6.0,VA,Professional,2013,680.0
0.083,7.0,CA,Other,2014,680.0
0.1409,6.0,FL,Construction,2013,740.0
0.2319,2.0,OR,Other,2013,680.0
0.0669,11.0,FL,Sales - Commission,2014,720.0
0.1089,8.0,OK,Other,2014,700.0
0.2079,4.0,VA,Sales - Retail,2013,720.0
0.3099,6.0,MI,Other,2011,640.0
0.156,4.0,GA,Skilled Labor,2013,700.0
0.2259,5.0,NJ,Professional,2013,660.0
0.2048,7.0,AR,Administrative Assistant,2012,700.0
0.169,7.0,ID,Executive,2014,700.0
0.2246,2.0,FL,Clerical,2013,660.0
0.1949,3.0,NM,Retail Management,2013,700.0
0.1255,7.0,UT,Professional,2013,700.0
0.1196,8.0,MI,Engineer - Mechanical,2012,720.0
0.1985,8.0,FL,Executive,2012,700.0
0.0864,8.0,NY,Other,2012,720.0
0.2545,7.0,MI,Construction,2009,640.0
0.1999,6.0,FL,Civil Service,2013,780.0
0.2539,3.0,PA,Laborer,2013,640.0
0.1499,6.0,IL,Professional,2013,700.0
0.187,4.0,MI,Attorney,2014,680.0
0.095,10.0,NV,Sales - Commission,2013,680.0
0.1415,8.0,CT,Sales - Commission,2010,780.0
0.095,6.0,TX,Laborer,2013,760.0
0.0555,10.0,CA,Food Service Management,2011,760.0
0.0769,7.0,NJ,Nurse (RN),2013,720.0
0.2398,7.0,CA,Analyst,2012,740.0
0.2411,7.0,WA,Accountant/CPA,2012,660.0
0.1199,9.0,NJ,Engineer - Mechanical,2013,700.0
0.2906,3.0,CA,Other,2013,660.0
0.2389,7.0,CA,Other,2012,660.0
0.1815,3.0,WI,Professional,2013,700.0
0.191,9.0,CT,Sales - Commission,2009,660.0
0.0939,5.0,NY,Food Service,2014,740.0
0.1919,6.0,OK,Executive,2013,660.0
0.0666,10.0,CA,Other,2013,760.0
0.189,9.0,FL,Car Dealer,2010,660.0
0.2343,4.0,AK,Other,2012,660.0
0.1724,5.0,NY,Other,2013,680.0
0.2569,3.0,WA,Other,2011,640.0
0.1174,10.0,CA,Clerical,2014,640.0
